"party_no","party_name","party_code","party_bg_color","party_text_color"
"1","中國國民黨","KMT","#000095","#FFFFFF"
"15","勞動黨","LPT","#FF0000","#FFFFFF"
"16","民主進步黨","DPP","#1B9431","#FFFFFF"
"42","農民黨","","#D4D4D4","#000000"
"73","公民黨","","#D4D4D4","#000000"
"74","新黨","NP","#FFDB00","#000000"
"79","綠黨","GPT","#99E64D","#000000"
"90","親民黨","PFP","#FF6310","#FFFFFF"
"95","台灣團結聯盟","TSU","#AB6300","#FFFFFF"
"98","中華民族致公黨","","#D4D4D4","#000000"
"106","無黨團結聯盟","NPSU","#C20F51","#FFFFFF"
"113","中華統一促進黨","UP","#000080","#FFFFFF"
"114","中國民主進步黨","","#D4D4D4","#000000"
"151","中華婦女黨","","#D4D4D4","#000000"
"153","人民最大黨","","#D4D4D4","#000000"
"166","全民生活政策黨","","#D4D4D4","#000000"
"169","大道人民黨","","#D4D4D4","#000000"
"179","華聲黨","","#D4D4D4","#000000"
"188","正黨","","#D4D4D4","#000000"
"190","台灣民族黨","","#D4D4D4","#000000"
"196","教科文預算保障e聯盟","","#D4D4D4","#000000"
"198","新華勞動黨","","#D4D4D4","#000000"
"199","人民民主黨","人民民主黨","#FB0100","#000000"
"201","正義聯盟","","#D4D4D4","#000000"
"202","臺灣建國黨","","#D4D4D4","#000000"
"209","聯合黨","","#D4D4D4","#000000"
"210","三等國民公義人權自救黨","","#D4D4D4","#000000"
"219","台灣進步黨","","#D4D4D4","#000000"
"224","台灣整復師聯盟工黨","","#D4D4D4","#000000"
"234","台灣第一民族黨","","#D4D4D4","#000000"
"236","新生黨","","#D4D4D4","#000000"
"249","中華文化民主黨","","#D4D4D4","#000000"
"250","中國國家社會主義勞工黨","","#D4D4D4","#000000"
"254","中華民國國政監督聯盟","","#D4D4D4","#000000"
"257","天宙和平統一家庭黨","","#D4D4D4","#000000"
"258","軍公教聯盟黨","軍公教聯盟黨","#3F48CC","#FFFFFF"
"259","樹黨","TreesParty","#B4D205","#000000"
"264","經濟黨","","#D4D4D4","#000000"
"267","時代力量","TNPP","#F9BE01","#000000"
"268","民國黨","MKT","#FFEA00","#000000"
"269","社會民主黨","SDP","#FF0088","#000000"
"272","自由台灣黨","自由台灣黨","#E04155","#000000"
"275","新政世紀黨","","#D4D4D4","#000000"
"278","臺灣前進黨","","#D4D4D4","#000000"
"283","信心希望聯盟","FHL","#006F7F","#FFFFFF"
"290","皇君人民政黨","","#D4D4D4","#000000"
"292","聾國黨","FHL","#006F7F","#FFFFFF"
"295","全國人民黨","FHL","#006F7F","#FFFFFF"
"302","金門高粱黨","FHL","#006F7F","#FFFFFF"
"303","基進黨","TSP","#A73f24","#FFFFFF"
"309","華裔和合黨","","#D4D4D4","#000000"
"310","青年陽光黨","","#D4D4D4","#000000"
"315","臺灣人民共產黨","","#D4D4D4","#000000"
"321","台灣學習黨","","#D4D4D4","#000000"
"324","世界大同黨","","#D4D4D4","#000000"
"331","愛心黨","","#D4D4D4","#000000"
"333","舊臺灣","","#D4D4D4","#000000"
"338","左翼聯盟","","#D4D4D4","#000000"
"999","無黨籍及未經政黨推薦","NONP","#999999","#FFFFFF"
"189","健保免費連線","健保免費連線","#8B00FF","#FFFFFF"
"134","大愛憲改聯盟","大愛憲改聯盟","#FF0000","#FFFFFF"
"101","台灣工黨","台灣工黨","#008000","#000000"
"350","台灣民眾黨","TPP","#28C8C8","#000000"
"341","國會政黨聯盟","CPA","#FFEA00","#000000"
"356","台灣維新","TRP","#51458B","#FFFFFF"
"348","喜樂島聯盟","FA","#009e96","#FFFFFF"
"352","一邊一國行動黨","TAPA","#5BBEDE","#000000"
"346","安定力量","SFP","#633f99","#000000"
"319","宗教聯盟","IFU","#EAD9A5","#000000"
"281","綠黨社會民主黨聯盟","綠社盟","#F00078","#FFFFFF"
"TBD","","","#D4D4D4","#000000"

